Facility,Location,Date,5:00 AM,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM,Total Count,Status
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,2/20/23 0:00,13,19,14,23,36,43,47,47,52,53,49,40,50,56,49,49,46,,43,729,Active
Marino Recreation Center,Marino Center - 2nd Floor,2/20/23 0:00,3,6,14,18,17,22,27,33,31,28,31,31,32,34,29,27,25,28,,430,Active
Marino Recreation Center,Marino Center - Track,2/21/23 0:00,0,1,3,8,10,5,7,7,7,6,5,8,6,3,20,13,,11,,117,Active
Marino Recreation Center,Marino Center - Studio A,2/21/23 0:00,0,1,1,2,2,3,6,5,5,7,9,10,10,11,20,17,11,11,,129,Active
Marino Recreation Center,Marino Center - Studio B,2/21/23 0:00,0,2,2,3,1,5,3,4,1,4,4,4,6,8,20,5,8,8,,85,Active
Marino Recreation Center,Marino Center - Gymnasium,2/21/23 0:00,0,19,21,17,12,14,9,16,24,30,34,36,25,34,24,31,41,42,,427,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,2/21/23 0:00,10,23,36,38,41,46,52,73,61,31,28,34,44,40,84,71,,54,,762,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,2/21/23 0:00,11,24,26,35,26,37,41,55,58,45,49,55,47,44,73,60,,59,,742,Active
Marino Recreation Center,Marino Center - 2nd Floor,2/21/23 0:00,3,17,27,16,15,17,46,45,40,38,49,57,59,62,73,71,58,56,,746,Active
Marino Recreation Center,Marino Center - Track,2/22/23 0:00,2,4,3,4,3,3,6,5,6,2,2,8,12,11,12,13,10,10,,113,Active
Marino Recreation Center,Marino Center - Studio A,2/22/23 0:00,0,4,3,5,6,6,23,4,6,5,5,7,9,10,11,5,5,11,,120,Active
Marino Recreation Center,Marino Center - Studio B,2/22/23 0:00,0,1,0,4,2,4,6,6,3,7,11,13,14,15,12,23,17,12,,146,Active
Marino Recreation Center,Marino Center - Gymnasium,2/22/23 0:00,0,1,5,5,5,10,13,12,8,18,41,47,48,49,50,66,76,69,,520,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,2/22/23 0:00,10,30,48,37,40,39,46,65,55,44,44,28,34,35,59,60,60,44,,775,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,2/22/23 0:00,20,34,36,34,38,36,41,53,44,51,52,46,54,56,59,58,55,44,,807,Active
Marino Recreation Center,Marino Center - 2nd Floor,2/22/23 0:00,0,19,32,35,31,30,35,46,26,27,27,30,32,33,58,58,51,42,,608,Active
Marino Recreation Center,Marino Center - Track,2/23/23 0:00,0,1,3,3,4,5,7,7,5,3,3,8,,14,12,12,10,8,,102,Active
Marino Recreation Center,Marino Center - Studio A,2/23/23 0:00,0,1,3,15,6,7,7,2,5,8,16,7,11,12,14,15,8,8,,142,Active
Marino Recreation Center,Marino Center - Studio B,2/23/23 0:00,0,1,4,6,6,2,2,2,2,3,5,4,8,17,13,14,6,7,,103,Active
Marino Recreation Center,Marino Center - Gymnasium,2/23/23 0:00,2,10,12,9,7,6,8,9,7,10,15,26,45,51,58,60,45,47,,426,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,2/23/23 0:00,1,24,32,34,33,29,46,58,58,55,52,56,,75,66,63,60,57,,797,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,2/23/23 0:00,12,22,27,30,28,42,41,46,47,48,44,52,,65,57,48,47,46,,700,Active
Marino Recreation Center,Marino Center - 2nd Floor,2/23/23 0:00,1,10,17,30,28,32,27,25,29,33,44,50,61,62,53,54,44,46,,646,Active
Marino Recreation Center,Marino Center - Track,2/24/23 0:00,0,3,4,2,4,4,6,7,6,7,7,7,9,7,7,6,8,6,6,101,Active
Marino Recreation Center,Marino Center - Studio A,2/24/23 0:00,2,1,4,4,7,6,10,11,11,10,,10,10,15,15,9,7,5,1,134,Active
Marino Recreation Center,Marino Center - Studio B,2/24/23 0:00,0,1,2,3,8,7,5,8,9,10,,13,10,10,7,6,5,3,0,106,Active
Marino Recreation Center,Marino Center - Gymnasium,2/24/23 0:00,8,16,3,5,4,5,9,14,20,30,,50,51,49,46,39,36,37,25,445,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,2/24/23 0:00,0,11,10,16,19,23,31,39,39,40,40,51,80,70,56,40,44,38,38,683,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,2/24/23 0:00,0,20,17,22,26,28,38,39,37,38,38,55,78,65,52,26,35,42,42,694,Active
Marino Recreation Center,Marino Center - 2nd Floor,2/24/23 0:00,6,10,17,21,24,26,36,47,45,42,,56,67,72,42,32,35,20,20,615,Active
Marino Recreation Center,Marino Center - Track,2/25/23 0:00,,,,1,3,2,8,3,6,8,7,6,6,,5,10,,4,1,70,Active
Marino Recreation Center,Marino Center - Studio A,2/25/23 0:00,,,,3,7,4,7,11,7,7,6,,5,,4,,2,4,,63,Active
Marino Recreation Center,Marino Center - Studio B,2/25/23 0:00,,,,2,3,5,11,6,8,6,6,,4,,2,,2,3,,55,Active
Marino Recreation Center,Marino Center - Gymnasium,2/25/23 0:00,,,,8,49,48,37,25,29,36,38,,34,,34,30,28,29,,423,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,2/25/23 0:00,,,,13,27,37,48,48,46,47,49,45,31,,36,,,28,25,478,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,2/25/23 0:00,,,,22,28,35,39,36,40,42,46,45,46,,53,46,,28,23,529,Active
Marino Recreation Center,Marino Center - 2nd Floor,2/25/23 0:00,,,,18,28,33,35,31,35,34,33,,33,,40,,33,32,,383,Active
Marino Recreation Center,Marino Center - Track,2/26/23 0:00,,,0,3,1,1,3,5,3,2,3,5,2,0,11,13,10,7,5,70,Active
Marino Recreation Center,Marino Center - Studio A,2/26/23 0:00,,,0,,3,,5,10,5,27,27,6,9,9,15,25,14,6,5,163,Active
Marino Recreation Center,Marino Center - Studio B,2/26/23 0:00,,,0,,4,,7,15,27,4,5,6,16,16,25,25,6,6,3,163,Active
Marino Recreation Center,Marino Center - Gymnasium,2/26/23 0:00,,,0,,8,,20,28,37,43,59,85,38,29,37,34,31,27,29,504,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,2/26/23 0:00,,,0,5,10,7,18,18,36,35,41,44,40,32,60,55,56,48,28,533,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,2/26/23 0:00,,,0,13,15,19,25,28,36,39,41,45,35,29,38,46,47,42,28,523,Active
Marino Recreation Center,Marino Center - 2nd Floor,2/26/23 0:00,,,0,,24,,26,28,24,22,27,44,54,41,31,34,31,38,27,450,Active
Marino Recreation Center,Marino Center - Track,2/27/23 0:00,0,1,7,7,8,4,6,6,7,7,10,11,10,10,9,,8,,,109,Active
Marino Recreation Center,Marino Center - Studio A,2/27/23 0:00,2,1,5,3,3,4,4,6,4,8,7,7,11,7,10,11,17,22,,129,Active
Marino Recreation Center,Marino Center - Studio B,2/27/23 0:00,1,1,4,5,5,6,7,6,1,2,4,4,7,11,11,12,10,9,,104,Active
Marino Recreation Center,Marino Center - Gymnasium,2/27/23 0:00,0,13,16,8,10,7,18,20,12,11,20,28,36,42,50,45,44,44,,421,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,2/27/23 0:00,6,22,26,37,32,45,45,51,44,46,34,43,67,81,70,,70,,,718,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,2/27/23 0:00,12,30,41,35,42,47,40,43,41,42,46,60,73,74,78,,78,,,779,Active
Marino Recreation Center,Marino Center - 2nd Floor,2/27/23 0:00,4,13,35,33,24,31,35,39,35,31,47,47,46,45,58,59,46,40,,665,Active
Marino Recreation Center,Marino Center - Track,2/28/23 0:00,1,2,4,7,6,5,6,6,5,6,4,7,7,18,14,16,16,7,5,140,Active
Marino Recreation Center,Marino Center - Studio A,2/28/23 0:00,0,1,4,4,4,4,1,4,4,4,3,5,7,7,7,9,9,7,2,83,Active
Marino Recreation Center,Marino Center - Studio B,2/28/23 0:00,0,1,2,2,5,3,1,4,4,4,5,7,9,9,9,6,6,6,2,84,Active
Marino Recreation Center,Marino Center - Gymnasium,2/28/23 0:00,0,21,21,10,10,4,11,24,15,35,35,40,46,42,36,39,49,46,39,520,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,2/28/23 0:00,4,23,23,26,28,29,39,48,43,43,43,42,30,27,49,50,53,43,35,677,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,2/28/23 0:00,35,32,21,23,25,26,28,38,38,41,41,42,42,35,47,69,64,54,47,745,Active
Marino Recreation Center,Marino Center - 2nd Floor,2/28/23 0:00,0,16,45,29,35,31,29,40,34,35,36,40,43,42,42,45,46,36,27,648,Active
Marino Recreation Center,Marino Center - Track,3/1/23 0:00,0,2,5,5,4,4,8,7,6,3,2,6,9,9,9,12,12,10,,110,Active
Marino Recreation Center,Marino Center - Studio A,3/1/23 0:00,2,3,2,5,6,5,4,6,7,10,4,6,8,8,10,11,15,11,,119,Active
Marino Recreation Center,Marino Center - Studio B,3/1/23 0:00,2,2,2,6,4,4,3,4,5,9,11,11,12,12,13,13,20,11,,142,Active
Marino Recreation Center,Marino Center - Gymnasium,3/1/23 0:00,0,4,8,7,9,6,6,13,18,21,24,35,36,36,46,59,54,52,,431,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,3/1/23 0:00,3,8,15,21,24,24,48,58,55,56,59,47,35,36,61,54,61,57,,718,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,3/1/23 0:00,9,28,21,27,28,28,43,49,46,60,65,58,59,64,54,58,60,59,,812,Active
Marino Recreation Center,Marino Center - 2nd Floor,3/1/23 0:00,10,16,22,36,36,34,35,35,30,33,29,33,34,34,63,54,57,55,,643,Active
Marino Recreation Center,Marino Center - Track,3/2/23 0:00,0,2,3,3,3,2,5,,5,7,6,3,8,6,12,9,8,8,7,95,Active
Marino Recreation Center,Marino Center - Studio A,3/2/23 0:00,0,1,2,8,5,6,8,4,4,7,7,7,14,19,8,10,3,10,,122,Active
Marino Recreation Center,Marino Center - Studio B,3/2/23 0:00,0,2,3,6,4,3,1,4,4,7,4,8,9,19,5,3,2,12,,95,Active
Marino Recreation Center,Marino Center - Gymnasium,3/2/23 0:00,0,19,6,3,4,7,9,18,18,22,17,33,45,52,51,56,37,29,,425,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,3/2/23 0:00,4,18,37,22,27,30,42,46,43,47,51,50,53,48,84,71,68,67,67,872,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,3/2/23 0:00,9,29,28,25,33,29,39,41,38,44,48,41,40,51,70,53,55,65,66,803,Active
Marino Recreation Center,Marino Center - 2nd Floor,3/2/23 0:00,0,16,16,23,32,39,43,47,41,44,47,44,67,68,63,68,33,34,,723,Active
Marino Recreation Center,Marino Center - Track,3/3/23 0:00,2,2,4,4,4,4,3,3,2,4,4,6,8,9,3,2,1,3,,66,Active
Marino Recreation Center,Marino Center - Studio A,3/3/23 0:00,0,1,4,3,11,7,4,8,6,6,6,4,4,3,9,5,,4,4,87,Active
Marino Recreation Center,Marino Center - Studio B,3/3/23 0:00,1,1,2,4,8,5,2,7,4,4,4,5,5,6,6,4,,2,2,69,Active
Marino Recreation Center,Marino Center - Gymnasium,3/3/23 0:00,11,16,9,9,8,6,14,15,23,31,32,35,31,37,53,40,,22,24,412,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,3/3/23 0:00,4,15,22,20,24,26,28,31,34,36,36,41,40,45,49,49,34,36,,569,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,3/3/23 0:00,6,18,26,19,23,28,36,47,54,56,56,58,58,60,60,60,29,31,,722,Active
Marino Recreation Center,Marino Center - 2nd Floor,3/3/23 0:00,6,20,33,28,22,19,39,41,34,28,30,32,31,34,51,32,,20,18,514,Active
Marino Recreation Center,Marino Center - Track,3/4/23 0:00,,,,1,2,4,,5,5,5,5,4,4,5,6,6,,,,49,Active
Marino Recreation Center,Marino Center - Studio A,3/4/23 0:00,,,,1,3,3,10,4,12,13,10,16,18,12,2,2,,,,104,Active
Marino Recreation Center,Marino Center - Studio B,3/4/23 0:00,,,,1,3,4,8,5,5,8,7,7,9,9,3,3,,,,70,Active
Marino Recreation Center,Marino Center - Gymnasium,3/4/23 0:00,,,,9,30,39,37,34,26,21,19,19,21,21,16,16,,,,307,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,3/4/23 0:00,,,,11,23,25,,27,32,38,32,34,34,35,45,45,,,,379,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,3/4/23 0:00,,,,19,24,23,,30,35,35,41,43,43,44,42,42,,,,420,Active
Marino Recreation Center,Marino Center - 2nd Floor,3/4/23 0:00,,,,14,21,27,25,22,25,26,29,30,32,34,31,31,,,,345,Active
Marino Recreation Center,Marino Center - Track,3/5/23 0:00,,,,1,1,3,4,5,5,5,5,2,2,6,,3,,,,41,Active
Marino Recreation Center,Marino Center - Studio A,3/5/23 0:00,,,,0,1,2,4,15,4,2,3,1,2,2,,1,,,,37,Active
Marino Recreation Center,Marino Center - Studio B,3/5/23 0:00,,,,2,1,2,5,11,3,4,3,2,3,4,,3,,,,42,Active
Marino Recreation Center,Marino Center - Gymnasium,3/5/23 0:00,,,,1,1,3,5,12,35,40,45,36,40,38,,,,,,255,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,3/5/23 0:00,,,,6,14,19,23,25,25,25,25,40,40,58,,57,,,,355,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,3/5/23 0:00,,,,12,19,23,28,28,28,28,28,53,54,71,,69,,,,440,Active
Marino Recreation Center,Marino Center - 2nd Floor,3/5/23 0:00,,,,4,10,12,15,18,34,42,26,28,29,38,,,,,,255,Active
Marino Recreation Center,Marino Center - Track,3/6/23 0:00,1,0,0,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,1,Active
Marino Recreation Center,Marino Center - Studio A,3/6/23 0:00,0,0,0,0,2,2,2,8,9,3,4,5,7,8,10,12,16,,,87,Active
Marino Recreation Center,Marino Center - Studio B,3/6/23 0:00,0,0,0,2,0,0,1,4,4,2,2,3,5,6,9,11,11,,,58,Active
Marino Recreation Center,Marino Center - Gymnasium,3/6/23 0:00,0,0,0,1,0,0,C,C,1,C,C,C,C,C,C,C,C,C,C,2,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,3/6/23 0:00,3,10,16,19,14,18,23,22,20,36,41,54,63,86,80,63,34,,,600,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,3/6/23 0:00,16,20,26,19,15,17,20,21,21,37,41,41,66,84,92,100,63,,,696,Active
Marino Recreation Center,Marino Center - 2nd Floor,3/6/23 0:00,2,5,5,9,9,9,13,22,25,24,24,27,29,30,39,42,46,,,357,Active
Marino Recreation Center,Marino Center - Studio A,3/7/23 0:00,0,0,3,4,4,4,,1,2,6,5,4,6,11,,21,,,,68,Active
Marino Recreation Center,Marino Center - Studio B,3/7/23 0:00,0,1,2,2,1,2,,1,2,4,1,2,4,8,15,15,,,,58,Active
Marino Recreation Center,Marino Center - Gymnasium,3/7/23 0:00,0,1,3,0,2,5,,20,18,19,24,23,41,37,31,28,,,,249,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,3/7/23 0:00,1,13,10,15,21,27,32,22,18,21,30,33,38,47,71,64,,,,462,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,3/7/23 0:00,7,19,20,18,21,25,23,20,21,19,27,32,39,50,86,80,,,,505,Active
Marino Recreation Center,Marino Center - 2nd Floor,3/7/23 0:00,6,9,15,19,17,20,,20,18,20,22,28,37,67,63,57,,,,414,Active
Marino Recreation Center,Marino Center - Track,3/8/23 0:00,0,0,0,,,,0,C,C,1,0,3,4,5,9,6,8,,,35,Active
Marino Recreation Center,Marino Center - Studio A,3/8/23 0:00,0,1,2,0,1,2,2,3,3,2,3,5,5,3,7,9,,,,46,Active
Marino Recreation Center,Marino Center - Studio B,3/8/23 0:00,0,1,0,5,4,3,1,2,0,2,5,8,4,3,6,5,,,,47,Active
Marino Recreation Center,Marino Center - Gymnasium,3/8/23 0:00,0,1,3,2,0,3,6,7,6,9,15,20,37,42,18,17,,,,186,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,3/8/23 0:00,0,12,12,8,15,15,14,20,24,21,18,18,19,20,50,55,49,,,367,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,3/8/23 0:00,0,23,21,9,24,26,26,28,29,25,23,24,25,26,62,63,54,,,487,Active
Marino Recreation Center,Marino Center - 2nd Floor,3/8/23 0:00,0,9,10,10,13,17,18,24,19,17,21,17,39,48,35,35,,,,331,Active
Marino Recreation Center,Marino Center - Track,3/9/23 0:00,0,0,C,C,1,2,4,4,3,1,2,6,5,7,4,3,4,3,,47,Active
Marino Recreation Center,Marino Center - Studio A,3/9/23 0:00,1,0,2,1,2,3,5,2,3,4,5,2,5,10,6,6,5,4,,64,Active
Marino Recreation Center,Marino Center - Studio B,3/9/23 0:00,1,2,2,1,2,3,3,1,2,3,4,1,2,2,9,7,6,4,,53,Active
Marino Recreation Center,Marino Center - Gymnasium,3/9/23 0:00,1,2,1,0,6,3,4,7,10,13,15,38,23,24,21,21,22,20,,229,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,3/9/23 0:00,0,3,8,13,14,19,23,23,21,17,23,18,25,26,31,39,48,47,,396,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,3/9/23 0:00,0,8,10,16,21,20,28,28,26,21,21,24,35,36,56,59,62,64,,532,Active
Marino Recreation Center,Marino Center - 2nd Floor,3/9/23 0:00,2,6,11,12,13,18,31,23,20,19,20,29,42,69,66,57,52,54,,542,Active
Marino Recreation Center,Marino Center - Track,3/10/23 0:00,,1,0,1,1,1,3,0,1,2,3,4,4,6,7,9,,,,41,Active
Marino Recreation Center,Marino Center - Studio A,3/10/23 0:00,0,1,0,3,3,3,2,3,4,5,7,3,5,6,5,6,,,,54,Active
Marino Recreation Center,Marino Center - Studio B,3/10/23 0:00,0,2,0,3,2,1,2,3,3,2,3,4,5,4,9,10,,,,50,Active
Marino Recreation Center,Marino Center - Gymnasium,3/10/23 0:00,0,1,0,0,1,5,6,7,21,21,23,21,20,28,34,35,,,,221,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,3/10/23 0:00,,5,12,12,14,14,28,30,28,29,30,37,51,60,62,64,,,,473,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,3/10/23 0:00,,10,16,16,15,18,26,29,31,32,33,35,45,72,73,78,,,,528,Active
Marino Recreation Center,Marino Center - 2nd Floor,3/10/23 0:00,3,9,11,13,19,24,21,26,28,20,23,24,30,33,32,33,,,,346,Active
Marino Recreation Center,Marino Center - Track,3/11/23 0:00,,,,3,2,3,4,5,6,8,10,8,10,11,6,,,,,74,Active
Marino Recreation Center,Marino Center - Studio A,3/11/23 0:00,,,,2,4,,7,9,9,9,9,8,5,6,,,,,,68,Active
Marino Recreation Center,Marino Center - Studio B,3/11/23 0:00,,,,1,2,,4,6,5,5,5,5,2,3,,,,,,39,Active
Marino Recreation Center,Marino Center - Gymnasium,3/11/23 0:00,,,,13,24,,25,26,26,26,26,28,32,32,,,,,,259,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,3/11/23 0:00,,,,11,19,22,25,29,33,35,37,39,41,,49,,,,,337,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,3/11/23 0:00,,,,18,22,28,31,35,39,41,43,44,46,47,39,,,,,432,Active
Marino Recreation Center,Marino Center - 2nd Floor,3/11/23 0:00,,,,19,24,,28,29,26,27,27,31,38,41,,,,,,291,Active
Marino Recreation Center,Marino Center - Track,3/12/23 0:00,,,,1,1,1,3,5,6,8,7,5,7,4,5,5,4,4,,63,Active
Marino Recreation Center,Marino Center - Studio A,3/12/23 0:00,,,,1,2,3,3,3,4,4,5,7,7,4,9,6,6,3,4,68,Active
Marino Recreation Center,Marino Center - Studio B,3/12/23 0:00,,,,1,2,5,4,5,5,5,7,4,4,2,21,8,5,2,2,80,Active
Marino Recreation Center,Marino Center - Gymnasium,3/12/23 0:00,,,,2,4,5,5,16,30,33,27,61,60,51,46,47,23,10,12,430,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,3/12/23 0:00,,,,2,11,8,15,24,25,27,27,28,35,24,33,38,28,23,,346,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,3/12/23 0:00,,,,6,11,10,18,31,32,34,34,46,40,39,46,36,30,29,,439,Active
Marino Recreation Center,Marino Center - 2nd Floor,3/12/23 0:00,,,,8,12,13,23,25,25,27,28,39,23,42,39,27,30,18,21,399,Active
Marino Recreation Center,Marino Center - Track,3/13/23 0:00,3,2,2,3,5,4,4,6,4,6,9,7,9,10,8,4,5,7,,97,Active
Marino Recreation Center,Marino Center - Studio A,3/13/23 0:00,1,2,2,1,2,5,5,8,5,5,6,7,9,11,15,7,19,10,6,125,Active
Marino Recreation Center,Marino Center - Studio B,3/13/23 0:00,0,1,2,2,3,4,4,7,3,3,1,2,10,12,15,15,15,8,5,111,Active
Marino Recreation Center,Marino Center - Gymnasium,3/13/23 0:00,0,1,3,2,3,5,5,17,12,7,8,7,30,32,45,45,43,67,65,394,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,3/13/23 0:00,,15,29,33,31,27,27,30,31,46,52,76,78,79,75,67,61,54,,810,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,3/13/23 0:00,,34,40,35,30,43,43,51,51,55,55,73,82,82,82,82,74,46,,956,Active
Marino Recreation Center,Marino Center - 2nd Floor,3/13/23 0:00,5,10,23,32,30,21,21,33,31,33,51,55,58,63,63,61,60,60,27,735,Active
Marino Recreation Center,Marino Center - Track,3/14/23 0:00,0,2,3,2,3,5,3,3,3,6,13,9,6,4,5,5,5,5,,78,Active
Marino Recreation Center,Marino Center - Studio A,3/14/23 0:00,1,1,1,2,5,1,2,3,8,7,8,8,7,12,14,11,9,11,,110,Active
Marino Recreation Center,Marino Center - Studio B,3/14/23 0:00,1,2,0,0,3,1,3,4,6,4,4,8,8,10,11,7,8,7,,85,Active
Marino Recreation Center,Marino Center - Gymnasium,3/14/23 0:00,1,1,1,0,0,0,8,13,15,29,41,43,47,50,50,49,49,47,,442,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,3/14/23 0:00,9,20,30,21,22,32,42,41,43,47,59,61,67,67,70,67,67,45,,808,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,3/14/23 0:00,13,22,25,21,20,32,39,38,38,49,50,56,63,64,67,66,68,50,,778,Active
Marino Recreation Center,Marino Center - 2nd Floor,3/14/23 0:00,3,8,13,12,18,16,44,71,30,47,51,57,51,58,60,55,51,46,,690,Active
Marino Recreation Center,Marino Center - Track,3/15/23 0:00,,1,3,5,6,5,4,5,5,4,3,6,10,10,13,8,11,9,,105,Active
Marino Recreation Center,Marino Center - Studio A,3/15/23 0:00,1,2,4,5,4,7,5,6,6,9,9,10,10,11,14,11,7,5,,121,Active
Marino Recreation Center,Marino Center - Studio B,3/15/23 0:00,0,0,2,3,2,5,2,4,3,5,11,9,9,10,10,18,22,19,,131,Active
Marino Recreation Center,Marino Center - Gymnasium,3/15/23 0:00,1,11,9,2,6,3,8,11,14,19,45,51,51,52,68,65,64,60,,537,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,3/15/23 0:00,,12,25,25,27,32,50,53,53,57,58,43,40,43,59,64,58,56,,753,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,3/15/23 0:00,,24,25,30,39,44,46,49,48,53,62,61,65,65,53,54,46,44,,805,Active
Marino Recreation Center,Marino Center - 2nd Floor,3/15/23 0:00,1,13,25,36,46,33,42,44,45,48,47,45,45,46,69,63,60,57,,761,Active
