Facility,Location,Date,5:00 AM,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM,Total Count,Status
Marino Recreation Center,Marino Center - Gymnasium,1/14/23 0:00,,,,10,23,35,39,22,23,31,29,78,,77,,33,30,24,26,478,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,1/14/23 0:00,,,,15,38,25,27,27,28,30,32,,,33,24,21,16,18,16,349,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,1/14/23 0:00,,,,22,29,28,32,30,36,39,39,,,39,36,28,26,25,17,425,Active
Marino Recreation Center,Marino Center - 2nd Floor,1/14/23 0:00,,,,11,19,34,43,46,52,47,34,58,,53,,30,27,13,12,478,Active
Marino Recreation Center,Marino Center - Track,1/15/23 0:00,,,,2,2,6,6,5,3,5,5,5,7,5,11,7,5,4,4,80,Active
Marino Recreation Center,Marino Center - Studio A,1/15/23 0:00,,,,0,2,6,7,9,5,3,11,7,5,1,4,6,4,3,2,72,Active
Marino Recreation Center,Marino Center - Studio B,1/15/23 0:00,,,,1,4,4,5,10,6,4,7,6,2,6,3,5,3,3,7,74,Active
Marino Recreation Center,Marino Center - Gymnasium,1/15/23 0:00,,,,2,13,27,39,35,15,45,63,82,63,52,45,34,21,20,18,569,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,1/15/23 0:00,,,,9,18,17,25,32,46,49,48,29,30,33,48,47,36,24,20,509,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,1/15/23 0:00,,,,15,31,37,37,37,46,51,40,41,37,42,57,38,32,30,19,587,Active
Marino Recreation Center,Marino Center - 2nd Floor,1/15/23 0:00,,,,10,20,37,43,40,30,26,30,36,19,17,45,30,18,16,8,424,Active
Marino Recreation Center,Marino Center - Track,1/16/23 0:00,1,2,2,2,3,4,8,9,6,6,8,11,10,11,10,9,7,8,4,114,Active
Marino Recreation Center,Marino Center - Studio A,1/16/23 0:00,0,1,1,0,1,4,6,15,13,10,6,10,12,13,20,14,3,4,,130,Active
Marino Recreation Center,Marino Center - Studio B,1/16/23 0:00,0,1,1,1,2,4,4,7,7,4,2,4,5,6,3,1,0,2,,51,Active
Marino Recreation Center,Marino Center - Gymnasium,1/16/23 0:00,0,0,6,8,9,8,15,19,22,34,33,40,41,42,50,52,48,50,,477,Active
