Date,Facility,Location,Hour,Count
1/18/23 0:00,Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,5:00 AM,10.0
1/18/23 0:00,Marino Recreation Center,Marino Center - 3rd Floor Weight Room,5:00 AM,19.0
1/18/23 0:00,Marino Recreation Center,Marino Center - 2nd Floor,5:00 AM,2.7862745098039214
1/19/23 0:00,Marino Recreation Center,Marino Center - Track,5:00 AM,1.0
1/19/23 0:00,Marino Recreation Center,Marino Center - Studio A,5:00 AM,0.0
1/19/23 0:00,Marino Recreation Center,Marino Center - Studio B,5:00 AM,0.0
1/19/23 0:00,Marino Recreation Center,Marino Center - Gymnasium,5:00 AM,1.0
1/19/23 0:00,Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,5:00 AM,14.0
1/19/23 0:00,Marino Recreation Center,Marino Center - 3rd Floor Weight Room,5:00 AM,24.0
1/19/23 0:00,Marino Recreation Center,Marino Center - 2nd Floor,5:00 AM,2.0
1/20/23 0:00,Marino Recreation Center,Marino Center - Track,5:00 AM,0.0
1/20/23 0:00,Marino Recreation Center,Marino Center - Studio A,5:00 AM,0.0
1/20/23 0:00,Marino Recreation Center,Marino Center - Studio B,5:00 AM,1.0
1/20/23 0:00,Marino Recreation Center,Marino Center - Gymnasium,5:00 AM,0.0
1/20/23 0:00,Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,5:00 AM,4.0
1/20/23 0:00,Marino Recreation Center,Marino Center - 3rd Floor Weight Room,5:00 AM,16.0
1/20/23 0:00,Marino Recreation Center,Marino Center - 2nd Floor,5:00 AM,2.0
1/21/23 0:00,Marino Recreation Center,Marino Center - Track,5:00 AM,2.7862745098039214
1/21/23 0:00,Marino Recreation Center,Marino Center - Studio A,5:00 AM,2.7862745098039214
1/21/23 0:00,Marino Recreation Center,Marino Center - Studio B,5:00 AM,2.7862745098039214
1/21/23 0:00,Marino Recreation Center,Marino Center - Gymnasium,5:00 AM,2.7862745098039214
1/21/23 0:00,Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,5:00 AM,2.7862745098039214
1/21/23 0:00,Marino Recreation Center,Marino Center - 3rd Floor Weight Room,5:00 AM,2.7862745098039214
1/21/23 0:00,Marino Recreation Center,Marino Center - 2nd Floor,5:00 AM,2.7862745098039214
1/22/23 0:00,Marino Recreation Center,Marino Center - Track,5:00 AM,2.7862745098039214
1/22/23 0:00,Marino Recreation Center,Marino Center - Studio A,5:00 AM,2.7862745098039214
1/22/23 0:00,Marino Recreation Center,Marino Center - Studio B,5:00 AM,2.7862745098039214
1/22/23 0:00,Marino Recreation Center,Marino Center - Gymnasium,5:00 AM,2.7862745098039214
1/22/23 0:00,Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,5:00 AM,2.7862745098039214
1/22/23 0:00,Marino Recreation Center,Marino Center - 3rd Floor Weight Room,5:00 AM,2.7862745098039214
1/22/23 0:00,Marino Recreation Center,Marino Center - 2nd Floor,5:00 AM,2.7862745098039214
1/23/23 0:00,Marino Recreation Center,Marino Center - Track,5:00 AM,1.0
1/23/23 0:00,Marino Recreation Center,Marino Center - Studio A,5:00 AM,2.0
1/23/23 0:00,Marino Recreation Center,Marino Center - Studio B,5:00 AM,0.0
1/23/23 0:00,Marino Recreation Center,Marino Center - Gymnasium,5:00 AM,0.0
1/23/23 0:00,Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,5:00 AM,14.0
1/23/23 0:00,Marino Recreation Center,Marino Center - 3rd Floor Weight Room,5:00 AM,21.0
1/23/23 0:00,Marino Recreation Center,Marino Center - 2nd Floor,5:00 AM,8.0
1/24/23 0:00,Marino Recreation Center,Marino Center - Track,5:00 AM,0.0
1/24/23 0:00,Marino Recreation Center,Marino Center - Studio A,5:00 AM,0.0
1/24/23 0:00,Marino Recreation Center,Marino Center - Studio B,5:00 AM,0.0
1/24/23 0:00,Marino Recreation Center,Marino Center - Gymnasium,5:00 AM,0.0
1/24/23 0:00,Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,5:00 AM,0.0
1/24/23 0:00,Marino Recreation Center,Marino Center - 3rd Floor Weight Room,5:00 AM,0.0
1/24/23 0:00,Marino Recreation Center,Marino Center - 2nd Floor,5:00 AM,3.0
1/25/23 0:00,Marino Recreation Center,Marino Center - Track,5:00 AM,0.0
1/25/23 0:00,Marino Recreation Center,Marino Center - Studio A,5:00 AM,1.0
1/25/23 0:00,Marino Recreation Center,Marino Center - Studio B,5:00 AM,1.0
1/25/23 0:00,Marino Recreation Center,Marino Center - Gymnasium,5:00 AM,1.0
1/25/23 0:00,Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,5:00 AM,0.0
1/25/23 0:00,Marino Recreation Center,Marino Center - 3rd Floor Weight Room,5:00 AM,6.0
1/25/23 0:00,Marino Recreation Center,Marino Center - 2nd Floor,5:00 AM,9.0
1/26/23 0:00,Marino Recreation Center,Marino Center - Track,5:00 AM,0.0
1/26/23 0:00,Marino Recreation Center,Marino Center - Studio A,5:00 AM,2.0
